"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Info"
"1","0.000000","192.168.88.1","192.168.88.128","TCP","66","128","33609","3389","33609  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000231","192.168.88.128","192.168.88.1","TCP","66","128","3389","33609","3389  >  33609 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"3","0.000334","192.168.88.1","192.168.88.128","TCP","54","128","33609","3389","33609  >  3389 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"4","0.001107","192.168.88.1","192.168.88.128","TLSv1","96","128","33609","3389","Ignored Unknown Record"
"5","0.003528","192.168.88.128","192.168.88.1","TCP","54","128","3389","33609","3389  >  33609 [ACK] Seq=1 Ack=43 Win=65536 Len=0"
"6","0.003584","192.168.88.128","192.168.88.1","TLSv1","73","128","3389","33609","Ignored Unknown Record"
"7","0.056525","192.168.88.1","192.168.88.128","TCP","54","128","33609","3389","33609  >  3389 [ACK] Seq=43 Ack=20 Win=1051136 Len=0"
"8","7.858356","192.168.88.1","192.168.88.128","TLSv1","239","128","33609","3389","Client Hello"
"9","7.859178","192.168.88.128","192.168.88.1","TLSv1","896","128","3389","33609","Server Hello, Certificate, Server Hello Done"
"10","7.859985","192.168.88.1","192.168.88.128","TLSv1","380","128","33609","3389","Client Key Exchange, Change Cipher Spec, Finished"
"11","7.862055","192.168.88.128","192.168.88.1","TLSv1","113","128","3389","33609","Change Cipher Spec, Finished"
"12","7.884734","192.168.88.1","192.168.88.128","TPKT","139","128","33609","3389","Continuation"
"13","7.885337","192.168.88.128","192.168.88.1","TPKT","347","128","3389","33609","Continuation"
"14","7.886275","192.168.88.1","192.168.88.128","TCP","54","128","33609","3389","33609  >  3389 [RST, ACK] Seq=639 Ack=1214 Win=0 Len=0"
"15","7.888924","192.168.88.1","192.168.88.128","TCP","66","128","33610","3389","33610  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"16","7.889072","192.168.88.128","192.168.88.1","TCP","66","128","3389","33610","3389  >  33610 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"17","7.889159","192.168.88.1","192.168.88.128","TCP","54","128","33610","3389","33610  >  3389 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"18","7.889638","192.168.88.1","192.168.88.128","TLSv1","96","128","33610","3389","Ignored Unknown Record"
"19","7.892598","192.168.88.128","192.168.88.1","TCP","54","128","3389","33610","3389  >  33610 [ACK] Seq=1 Ack=43 Win=65536 Len=0"
"20","7.892750","192.168.88.128","192.168.88.1","TLSv1","73","128","3389","33610","Ignored Unknown Record"
"21","7.893741","192.168.88.1","192.168.88.128","TLSv1","207","128","33610","3389","Client Hello"
"22","7.894078","192.168.88.128","192.168.88.1","TLSv1","896","128","3389","33610","Server Hello, Certificate, Server Hello Done"
"23","7.894464","192.168.88.1","192.168.88.128","TLSv1","380","128","33610","3389","Client Key Exchange, Change Cipher Spec, Finished"
"24","7.896183","192.168.88.128","192.168.88.1","TLSv1","113","128","3389","33610","Change Cipher Spec, Finished"
"25","7.896823","192.168.88.1","192.168.88.128","TCP","54","128","33610","3389","33610  >  3389 [RST, ACK] Seq=522 Ack=921 Win=0 Len=0"
"26","11.966136","192.168.88.1","192.168.88.128","TCP","66","128","33611","3389","33611  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"27","11.967493","192.168.88.128","192.168.88.1","TCP","66","128","3389","33611","3389  >  33611 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"28","11.967920","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"29","11.968678","192.168.88.1","192.168.88.128","TLSv1","96","128","33611","3389","Ignored Unknown Record"
"30","11.972495","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=1 Ack=43 Win=65536 Len=0"
"31","11.972612","192.168.88.128","192.168.88.1","TLSv1","73","128","3389","33611","Ignored Unknown Record"
"32","11.973611","192.168.88.1","192.168.88.128","TLSv1","207","128","33611","3389","Client Hello"
"33","11.975421","192.168.88.128","192.168.88.1","TLSv1","896","128","3389","33611","Server Hello, Certificate, Server Hello Done"
"34","11.975859","192.168.88.1","192.168.88.128","TLSv1","380","128","33611","3389","Client Key Exchange, Change Cipher Spec, Finished"
"35","11.977681","192.168.88.128","192.168.88.1","TLSv1","113","128","3389","33611","Change Cipher Spec, Finished"
"36","11.978032","192.168.88.1","192.168.88.128","RDP","555","128","33611","3389","ClientData"
"37","11.978499","192.168.88.128","192.168.88.1","RDP","203","128","3389","33611","ServerData Encryption: None (None)"
"38","11.978701","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","erectDomainRequest "
"39","11.978735","192.168.88.1","192.168.88.128","T.125","91","128","33611","3389","attachUserRequest "
"40","11.978804","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=1070 Ack=1113 Win=64512 Len=0"
"41","11.978874","192.168.88.128","192.168.88.1","T.125","91","128","3389","33611","attachUserConfirm "
"42","11.978989","192.168.88.1","192.168.88.128","T.125","107","128","33611","3389","channelJoinRequest 1008"
